8	3	A3	1	0	0	0	10
26	9	C4	9	C4	9	C4	9
27	C4	9	C4	9	C4	9	C4
28	9	C4	9	C4	9	C4	9
29	C4	9	C4	9	C4	9	C4
2A	9	C4	9	C4	9	C4	9
2B	C4	9	C4	9	C4	9	C4
2C	9	C4	9	C4	9	C4	0
2D	0	0F	A0	0	0	0	14
2E	0	0	0	14	0	0	0
2F	C8	0	0	0	C8	FF	1B
20	1E	40	0	0	0F	A0	0
21	0	0F	A0	FF	1B	1E	40
22	FF	1B	1E	40	0	0	0
5	23	24	3	80	80	0	0
10	81	63	98	58	0	0	0F
30	12	0	68	3F	4C	0	68
21	A0	0	0	0	0	14	6E
22	FA	24	1	1	1	1	7
23	8	8	98	0B	B8	0E	10
24	0F	78	11	30	12	2C	13
25	C0	15	40	16	44	17	58
26	19	0	1A	90	1D	B0	1E
27	78	21	98	2	58	2	BC
28	2	EE	3	20	3	52	3
29	84	3	B6	3	D4	0	0
2A	0	0	0	0	0	0	0
2B	0	0	0	0	0	0	0
2C	0	0	0	0	0	0	0
2D	0	0	0	0	0	0	0
2E	0	0	FF	88	FF	88	FF
2F	88	FF	88	FF	88	FF	88
20	FF	88	FF	88	1	24	FF
21	30	FF	30	FF	30	FF	30
22	FF	30	FF	30	0	0	0
5	23	24	4	0	80	0	0
10	81	63	FF	30	1	28	FF
30	12	0	68	3F	4C	0	68
21	34	FF	34	FF	34	FF	34
22	FF	34	FF	34	FF	34	1
23	28	FF	34	FF	34	FF	34
24	FF	34	FF	34	FF	34	FF
25	34	1	28	FF	52	FF	34
26	FF	34	FF	34	FF	34	FF
27	34	FF	34	1	28	FF	66
28	FF	34	FF	34	FF	34	FF
29	34	FF	34	FF	34	1	28
2A	FF	84	FF	34	FF	34	FF
2B	34	FF	34	FF	34	FF	34
2C	1	7	FF	90	FF	13	FE
2D	F0	FE	F0	FE	F0	FE	F0
2E	FE	F0	1	12	FF	AA	FF
2F	1E	FE	EC	FE	EC	FE	EC
20	FE	EC	FE	EC	1	1F	FF
21	A3	FF	2B	FF	0D	FF	0D
22	FF	0D	FF	0D	0	0	0
5	23	24	4	80	80	0	0
10	81	63	FF	0D	1	2B	FF
30	12	0	68	3F	4C	0	68
21	91	FF	37	FF	37	FF	37
22	FF	37	FF	37	FF	37	1
23	49	FF	73	FF	55	FF	55
24	FF	55	FF	55	FF	55	FF
25	55	1	7A	FF	86	FF	86
26	FF	86	FF	86	FF	86	FF
27	86	FF	86	1	8B	FF	97
28	FF	97	FF	97	FF	97	FF
29	97	FF	97	FF	97	7	8
2A	8	98	0B	B8	0E	10	0F
2B	78	11	30	12	2C	13	C0
2C	15	40	16	44	17	58	19
2D	0	1A	90	1D	B0	1E	78
2E	21	98	2	58	2	BC	2
2F	EE	3	20	3	52	3	84
20	3	B6	3	D4	0	0	0
21	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0
5	23	24	5	0	80	0	0
10	81	63	0	0	0	0	0
30	12	0	68	3F	4C	0	68
21	0	0	0	0	0	0	0
22	0	0	0	0	0	0	FF
23	88	FF	88	FF	88	FF	88
24	FF	88	FF	88	FF	88	FF
25	88	FF	30	FF	30	FF	30
26	FF	30	FF	30	FF	30	FF
27	30	FF	30	FF	48	FF	34
28	FF	34	FF	34	FF	34	FF
29	34	FF	34	FF	34	FF	70
2A	FF	34	FF	34	FE	F8	FE
2B	F8	FE	F8	FE	94	FE	94
2C	FF	AC	FF	34	FF	0C	FE
2D	A8	FE	A8	FE	A8	FE	44
2E	FE	44	0	7E	FF	52	FE
2F	F8	FE	6C	FE	6C	FE	6C
20	FE	8	FE	8	1	50	FF
21	AC	FF	2	FE	58	FE	44
22	FE	44	FD	E0	0	0	0
5	23	24	5	80	80	0	0
10	81	63	FD	E0	1	BB	FF
30	12	0	68	3F	4C	0	68
21	D1	FE	F5	FE	73	FE	55
22	FE	55	FD	F1	FD	F1	1
23	B2	0	22	FF	78	FE	B0
24	FE	56	FE	56	FD	F2	FD
25	F2	1	C9	0	6B	FF	C1
26	FF	2B	FE	C7	FE	9F	FE
27	3B	FE	3B	1	FD	0	D1
28	0	9	FF	69	FE	C9	FE
29	6F	FE	0B	FE	0B	1	49
2A	0	63	0	9	FF	87	FF
2B	19	FE	DD	FE	79	FE	79
2C	1	7A	0	94	0	3A	FF
2D	B8	FF	40	FF	18	FE	AA
2E	FE	AA	1	8B	0	A5	0
2F	4B	FF	C9	FF	51	FF	29
20	FE	BB	FE	BB	7	8	8
21	98	0B	B8	0E	10	0F	78
22	11	30	12	2C	0	0	0
5	23	24	6	0	80	0	0
10	81	63	13	C0	15	40	16
30	12	0	68	3F	4C	0	68
21	44	17	58	19	0	1A	90
22	1D	B0	1E	78	21	98	2
23	58	2	BC	2	EE	3	20
24	3	52	3	84	3	B6	3
25	D4	0	0	0	0	0	0
26	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0
29	0	0	0	0	0	FF	88
2A	FF	88	FF	88	FF	88	FF
2B	88	FF	88	FF	88	FF	88
2C	FF	30	FF	30	FF	30	FF
2D	30	FF	30	FF	30	FF	30
2E	FF	30	FF	48	FF	34	FF
2F	34	FF	34	FF	34	FF	34
20	FF	34	FF	34	FF	70	FF
21	34	FF	34	FE	F8	FE	F8
22	FE	F8	FE	94	0	0	0
5	23	24	6	80	80	0	0
